Group,Indicator,Timeframe,Bottom 5%,Current Percentile,Current Value,Median (50%),Q1 (25%),Q3 (75%),Top 5%
MA,SMA_50,1M,139.50230755615237,100.0,457.08762634277343,234.68645675659175,178.32913139343262,332.995802154541,428.7578261413574
MA,SMA_50,1W,283.2880436401367,100.0,569.2253802490235,402.7320782470703,369.2778118896484,435.20600067138673,557.4834597167969
MACD,MACD,1D,-7.898450332277503,99.14893617021276,9.99836839706029,3.0614430127072865,-1.1160714670766083,5.575759891431403,7.150454732782779
MACD,MACD,1H,-8.953492346789199,50.8860759493671,0.9246532264552344,0.8696705194732886,-2.4443143119799515,3.181177770685622,5.233769408223609
MACD,MACD,1M,7.013656447081196,93.83561643835615,41.90398921480346,13.22949117954495,10.77310083627968,21.08986944753606,42.681974367937045
MACD,MACD,1W,-10.319500793658136,24.390243902439025,0.4672030102508415,10.156723793673391,0.9854260401151294,14.852105206437445,18.35956585452318
MACD,MACD_diff,1D,-2.668170024791593,57.24533715925395,0.2808139012130191,0.1057993349376147,-0.9504013838561598,0.8812100824233582,2.6732079460491103
MACD,MACD_diff,1H,-1.9698915087175748,85.52971576227391,1.3285561038751683,-0.1115244124657968,-0.7544931107768325,0.8858721339525895,1.7950599427122331
MACD,MACD_diff,1M,-7.738519030227954,23.91304347826087,-1.3373766738091035,0.915159436933707,-1.02150578137419,2.494749039037212,8.373756281902764
MACD,MACD_diff,1W,-5.337567198012768,83.15412186379928,2.600548102898922,0.1122714825788619,-1.4439499657631725,1.6974673413759325,3.655500125975144
MACD,MACD_signal,1D,-7.901522856476961,100.0,9.71755449584727,2.833656108590742,-0.8208298901911527,5.297662634849546,6.492167137017577
MACD,MACD_signal,1H,-8.753693528184506,37.2093023255814,-0.4039028774199339,0.7994370844123447,-2.185923029161955,3.1646634491779144,4.840836425171971
MACD,MACD_signal,1M,7.828130991663122,97.82608695652172,43.24136588861256,13.983723918584126,11.757285879424588,20.455367260451126,38.385789439363634
MACD,MACD_signal,1W,-9.231620615374585,19.35483870967742,-2.1333450926480806,9.860690417046616,1.0326255353477944,15.207017700743798,17.762542094948113
RSI,RSI,1D,34.80972625778515,68.06136680613668,62.821677413927766,57.65016340783324,46.811609923479296,64.88382975931533,72.9367422383055
RSI,RSI,1H,28.87403103969034,74.44717444717445,61.98734241061478,52.00451861944638,41.43701271140807,62.56395132892095,73.45892444966597
RSI,RSI,1M,52.148919601846174,44.303797468354425,65.92927076280675,67.96501113751185,61.04539009132208,75.0698383265525,80.12518471341338
RSI,RSI,1W,38.35387063865267,34.448160535117054,56.00224519916668,60.71447364319921,51.36717067204009,68.11974775667403,75.02298184358202
Stochastic,Stoch_d,1D,10.570253856081122,47.55244755244755,71.92413716376579,74.98982338169169,37.85693432075513,89.3888202269662,96.485790315695
Stochastic,Stoch_d,1H,6.052420844797615,95.06172839506172,95.95793203389368,57.29420514525733,28.76525686768181,83.87280703869168,95.93594018726333
Stochastic,Stoch_d,1M,40.01976475190828,16.025641025641026,66.93132854348367,89.65353321795962,78.12063759194103,95.21328055939335,98.1798575806221
Stochastic,Stoch_d,1W,18.012576831970843,52.52525252525253,84.46374855787997,82.44240875260645,57.873362735739335,92.97616700975352,97.798083897286
Stochastic,Stoch_k,1D,4.847994355714407,69.1771269177127,88.8861933840981,73.54772326766025,37.65292140080198,91.90791998994332,98.68917134434726
Stochastic,Stoch_k,1H,3.2604638097727707,97.2972972972973,98.40865913214424,59.0748502994012,24.217709348292463,86.67949482959004,97.47506642274467
Stochastic,Stoch_k,1M,35.98106320671338,34.177215189873415,84.38100838705562,90.60940767078112,75.38090784026471,97.49018741195492,99.55761589684394
Stochastic,Stoch_k,1W,11.99921462969782,63.21070234113713,91.56649139526009,81.32660138753462,55.98969895359461,95.52073221921322,99.36021246375834
